Name,Price,Offer,Brand
RTX 2060 Zotac,949.0,849.0,Nvidia
RTX 3060,699.0,649.0,Nvidia
RTX 4070 Ti,849.0,799.0,Nvidia
Gigabyte Eagle Radeon RX 6600,349.0,299.0,AMD
Gigabyte Gaming Radeon RX 6800 XT,1999.0,1799.0,AMD
GTX 1660 Ti,399.0,349.0,Nvidia
Asus TUF RTX 3080 Ti,2999.0,2799.0,Nvidia
