Name,Price,Offer,Brand
Bluetooth Keyboard K380,49.0,39.0,Logitech
Magic Keyboard,199.0,169.0,Apple
Gamer Keyboard Pro Series G KDA,159.0,139.0,Logitech
Bluetooth Keyboard Ergo Series k860,139.0,119.0,Logitech
Bluetooth Keyboard K480,59.0,49.0,Logitech
Gamer Keyboard Alloy Origins Core,129.0,119.0,HyperX
Bluetooth Gamer Keyboard Series G G915,269.0,239.0,Logitech
