Name,Price,Offer,Brand
Wireless Headphones WH-XB910N,199.0,189.0,Sony
Gamer Headphones PlayStation Pulse 3D,119.0,109.0,Sony
Headphones ZX Series,29.0,19.0,Sony
Gamer Headphones Cloud Flight,99.0,89.0,HyperX
Gamer Headphones Cloud Stinger Core Wireless,89.0,79.0,HyperX
Gamer Headphones CloudX Stinger,59.0,49.0,HyperX
Wireless Headphones 1000X Series,349.0,299.0,Sony
