Name,Price,Offer,Brand
iPad 9th Generation,449.0,399.0,Apple
Galaxy Tab A7 Lite,219.0,179.0,Samsung
Galaxy Tab S6 Lite,499.0,449.0,Samsung
Galaxy Tab S8 Ultra,1599.0,1499.0,Samsung
iPad Air M1,899.0,799.0,Apple
Tab P11,499.0,399.0,Lenovo
Tab M10 Plus,349.0,299.0,Lenvo
Tab M9,199.0,179.0,Lenovo
