Name,Price,Offer,Brand
Monitor Gamer Nitro 27,399.0,299.0,Acer
Monitor ThinkVision P27-H30,309.0,269.0,Lenovo
Monitor M22f,199.0,149.0,HP
Monitor Omen 25,499.0,399.0,HP
Monitor M27f,249.0,199.0,HP
Monitor ThinkVision T24m-20,449.0,399.0,Lenovo
