Name,Price,Offer,Brand
G22,169.0,149.0,Motorola
Galaxy A23,219.0,189.0,Samsung
Galaxy A14,249.0,199.0,Samsung
Galaxy Z Flip4,799.0,699.0,Samsung
Galaxy S23 Ultra,1999.0,1849.0,Samsung
Galaxy S22,899.0,749.0,Samsung
iPhone 11,599.0,549.0,Apple
Moto E22i,129.0,99.0,Motorola
Moto Edge 30 Pro,599.0,549.0,Motorola
Galaxy A34,399.0,349.0,Samsung
iPhone 14 Pro Max,1549.0,1399.0,Apple
Defy,449.0,399.0,Motorola
