Name,Price,Offer,Brand
PS4 Slim,349.0,299.0,Sony
Series X,649.0,599.0,Xbox
Series S,449.0,399.0,Xbox
Switch Lite,349.0,249.0,Nintendo
Switch,499.0,449.0,Nintendo
Switch OLED,549.0,499.0,Nintendo
PS5,749.0,649.0,Sony
